CodDeposito;NomDeposito;Lugar;Direccion
00001;DEPOSITO TRANSITORIO;BOG;BASE AEREA DEL ATLANTICO CACOM-3 HANGAR 3
00002;OTROS DEPOSITOS;SMR;SANTA MARTA
00005;EN PODER DEL INTERESADO;BOG;-
00006;ENTREGA POR ACTA;BOG;ADMINISTRACION DE ADUANA
00901;ALMACARGA;BAQ;CALLE 30 FRENTE AL NUEVO AEROPUERTO
01404;ALMAGRAN;BOG;CALLE 44A NO. 93-64
01502;ALMAGRARIO;BOG;CRA. 120 NO. 26-09
02902;AINTERCARGA LTDA;BOG;AV EL DORADO N0.84A-55 BODEGA A149A
04601;MUELLES EL BOSQUE S.A.;CTG;AV. PEDRO VELEZ NO.48-14 BARRIO EL BOSQUE.
04801;CONSIMEX S.A;BOG;CALLE 65 BIS NO 90A-39/55
05602;EJERCITO NACIONAL;BOG;CRA 11B NO. 103A-CANTON NORTE
05801;STAIR CARGO;BOG;CRA 103 BIS NO 44A-20
08102;INDUSTRIA MILITAR;BOG;KILOMETRO 3 CARRETERA A SOACHA
11701;ALMINCARGA LTDA.;BOG;CRA. 100 N0. 44-11 BODGA.3
12901;DEPOSITO PRIVADO DICEX FUERZA AEREA COLOMBIANA;BOG;BASE AEREA MILITAR CATAM
13101;DAPSA;BOG;AV.EL DORADO
13907;ZONA FRANCA;BOG;FONTIBON, CALLE 13
14001;SOCIEDAD PORTUARIA DE SANTA MARTA;SMR;SANTA MARTA
20870;SOCIEDAD PORTUARIA REGIONAL BARRANQUILLA;BAQ;TERMINAL MARITIMO
14004;SOCIEDAD PORTUARIA Y REGIONAL DE CARTAGENA S.A.;CTG;MANGA
17501;ALMAMAX S.A. BOGOTA;BOG;CRRA 100 NO. 47-25 (SOTANO)
99900;ENTREGA DIRECTA;BOG;AEROPUERTO ELDORADO
2201;DEP. ADUANERO AVIATUR S.A.BOGOTA CLLE 40;BOG;CALLE 40 No.102-24.
501;REPREMUNDO;BOG;BOGOTA
2531;SERV AERO TERRITORIOS NAL SATENA;BOG;EL DORADO
7201;TNAL C/NEDEDOR C/GENA SA DEPOSITO PUBLICO;CTG;MANGA
